-- SHOP

sid;nazwa;kierownik
2956;20211202;1;20
2956;20211202;1;13
2957;20211202;1;44
2957;20211202;1;13
2957;20211202;1;12
2957;20211202;1;30
2957;20211202;1;18
2957;20211202;1;63
2957;20211202;1;109
2958;20211202;1;34
2958;20211202;1;84
2958;20211202;1;70
2958;20211202;1;56
2958;20211202;1;61
2958;20211202;1;12
2959;20211202;4;63
2959;20211202;4;49
2960;20211202;2;59
2961;20211202;1;80
2961;20211202;1;30
2962;20211202;4;57
2962;20211202;4;34
2962;20211202;4;65
2962;20211202;4;15
2962;20211202;4;76
2962;20211202;4;105
2962;20211202;4;77
2962;20211202;4;120
2962;20211202;4;51
2963;20211202;1;37
2963;20211202;1;39
2964;20211202;1;57
2964;20211202;1;40
2964;20211202;1;96
2964;20211202;1;39
2964;20211202;1;91
2965;20211202;3;27
2965;20211202;3;16
2965;20211202;3;12
2965;20211202;3;30
2965;20211202;3;18
2965;20211202;3;66
2966;20211202;3;21
2966;20211202;3;64
2966;20211202;3;34
2966;20211202;3;50
2966;20211202;3;16
2966;20211202;3;56
2966;20211202;3;13
2966;20211202;3;78
2966;20211202;3;41
2966;20211202;3;46
2966;20211202;3;101
2966;20211202;3;12
2966;20211202;3;111
2967;20211202;1;34
2967;20211202;1;26
2967;20211202;1;20
2968;20211202;1;84
2969;20211202;3;30
2969;20211202;3;71
2969;20211202;3;9
2969;20211202;3;77
2970;20211202;1;39
2970;20211202;1;9
2971;20211202;3;39
2972;20211202;1;30
2972;20211202;1;18
2973;20211202;1;38
2973;20211202;1;39
2974;20211202;4;35
2974;20211202;4;12
2974;20211202;4;40
2974;20211202;4;71
2975;20211202;1;21
2975;20211202;1;57
2975;20211202;1;35
2975;20211202;1;23
2975;20211202;1;92
2975;20211202;1;9
2975;20211202;1;12
2976;20211202;4;70
2976;20211202;4;56
2976;20211202;4;59
2977;20211202;3;104
2977;20211202;3;114
2977;20211202;3;111
2978;20211202;2;23
2978;20211202;2;83
2979;20211202;4;40
2979;20211202;4;20
2979;20211202;4;76
2979;20211202;4;19
2979;20211202;4;30
2979;20211202;4;77
2979;20211202;4;12
2980;20211202;1;29
2980;20211202;1;30
2980;20211202;1;8
2980;20211202;1;82
2981;20211202;2;15
2981;20211202;2;26
2982;20211202;1;44
2982;20211202;1;29
2982;20211202;1;15
2982;20211202;1;26
2982;20211202;1;86
2982;20211202;1;16
2982;20211202;1;53
2983;20211202;2;30
2984;20211202;3;30
2984;20211202;3;18
2984;20211202;3;72
2985;20211202;1;26
2985;20211202;1;76
2985;20211202;1;30
2985;20211202;1;8
2985;20211202;1;77
2986;20211202;3;50
2987;20211202;1;49
2988;20211202;2;50
2989;20211202;1;64
2989;20211202;1;63
2989;20211202;1;55
2990;20211202;3;23
2990;20211202;3;92
2990;20211202;3;12
2990;20211202;3;40
2990;20211202;3;93
2991;20211202;2;25
2991;20211202;2;34
2991;20211202;2;56
2991;20211202;2;23
2991;20211202;2;30
2991;20211202;2;18
2992;20211202;3;21
2992;20211202;3;48
2992;20211202;3;23
2992;20211202;3;30
2993;20211202;1;15
2993;20211202;1;40
2994;20211202;1;57
2994;20211202;1;15
2994;20211202;1;3
2994;20211202;1;16
2994;20211202;1;40
2994;20211202;1;85
2995;20211202;1;15
2996;20211202;2;40
2996;20211202;2;18
2997;20211202;2;12
2998;20211202;4;1
2998;20211202;4;70
2999;20211202;1;54
2999;20211202;1;62
2999;20211202;1;15
3000;20211201;1;21
3000;20211201;1;34
3000;20211201;1;29
3000;20211201;1;15
3000;20211201;1;40
3000;20211201;1;23
3000;20211201;1;102
3000;20211201;1;116
3000;20211201;1;41
3000;20211201;1;117
3000;20211201;1;59
3001;20211201;1;29
3001;20211201;1;23
3001;20211201;1;70
3001;20211201;1;30
3001;20211201;1;12
3002;20211201;2;37
3002;20211201;2;12
3003;20211201;1;15
3003;20211201;1;3
3003;20211201;1;26
3003;20211201;1;20
3003;20211201;1;68
3003;20211201;1;112
3004;20211201;3;23
3004;20211201;3;42
3005;20211201;2;48
3005;20211201;2;37
3006;20211201;1;1
3006;20211201;1;35
3006;20211201;1;40
3006;20211201;1;23
3007;20211201;1;63
3008;20211201;1;64
3008;20211201;1;35
3008;20211201;1;101
3009;20211201;1;26
3009;20211201;1;28
3009;20211201;1;38
3009;20211201;1;61
3010;20211201;2;54
3010;20211201;2;15
3010;20211201;2;68
3010;20211201;2;56
3011;20211201;2;70
3012;20211201;1;35
3012;20211201;1;23
3012;20211201;1;93
3013;20211201;2;115
3014;20211201;1;72
3014;20211201;1;82
3015;20211201;2;34
3015;20211201;2;35
3016;20211201;1;15
3016;20211201;1;20
3016;20211201;1;18
3016;20211201;1;37
3016;20211201;1;71
3016;20211201;1;72
3017;20211201;3;63
3017;20211201;3;12
3018;20211201;1;30
3018;20211201;1;37
3019;20211201;2;54
3019;20211201;2;23
3019;20211201;2;30
3020;20211201;1;44
3021;20211201;3;23
3022;20211201;4;25
3022;20211201;4;15
3022;20211201;4;16
3022;20211201;4;97
3022;20211201;4;66
3022;20211201;4;90
3022;20211201;4;91
3022;20211201;4;12
3023;20211201;4;30
3023;20211201;4;82
3024;20211201;1;44
3024;20211201;1;15
3024;20211201;1;40
3024;20211201;1;41
3024;20211201;1;56
3024;20211201;1;12
3025;20211201;4;23
3025;20211201;4;28
3026;20211201;2;50
3026;20211201;2;103
3026;20211201;2;23
3026;20211201;2;89
3026;20211201;2;18
3027;20211201;4;15
3027;20211201;4;18
3028;20211201;1;70
3028;20211201;1;82
3029;20211201;2;43
3029;20211201;2;40
3029;20211201;2;1
3029;20211201;2;34
3029;20211201;2;26
3029;20211201;2;20
3029;20211201;2;56
3030;20211201;3;62
3030;20211201;3;15
3030;20211201;3;30
3030;20211201;3;47
3030;20211201;3;108
3030;20211201;3;87
3030;20211201;3;94
3031;20211201;4;94
3031;20211201;4;13
3032;20211201;3;63
3032;20211201;3;56
3033;20211201;3;3
3033;20211201;3;4
3033;20211201;3;5
3033;20211201;3;13
3033;20211201;3;28
3033;20211201;3;30
3033;20211201;3;56
3034;20211201;1;27
3034;20211201;1;8
3035;20211201;1;40
3035;20211201;1;57
3035;20211201;1;16
3035;20211201;1;4
3035;20211201;1;23
3035;20211201;1;30
3035;20211201;1;8
3036;20211201;1;15
3036;20211201;1;41
3036;20211201;1;28
3036;20211201;1;39
3036;20211201;1;12
3037;20211201;1;86
3038;20211201;2;57
3038;20211201;2;35
3038;20211201;2;22
3038;20211201;2;26
3038;20211201;2;52
3038;20211201;2;30
3038;20211201;2;72
3038;20211201;2;94
3039;20211201;1;30
3040;20211201;1;26
3041;20211201;2;1
3041;20211201;2;15
3041;20211201;2;26
3041;20211201;2;2
3041;20211201;2;28
3041;20211201;2;38
3041;20211201;2;74
3041;20211201;2;12
3042;20211201;1;30
3042;20211201;1;63
3042;20211201;1;49
3042;20211201;1;93
3043;20211201;1;25
3043;20211201;1;29
3043;20211201;1;20
3043;20211201;1;56
3043;20211201;1;23
3044;20211201;1;76
3045;20211201;2;28
3046;20211201;1;41
3046;20211201;1;72
3046;20211201;1;85
3046;20211201;1;112
3046;20211201;1;12
3047;20211201;2;35
3047;20211201;2;11
3048;20211201;2;11
3048;20211201;2;94
3049;20211201;3;26
3049;20211201;3;20
3049;20211201;3;16
3049;20211201;3;75
3049;20211201;3;52
3049;20211201;3;46
3049;20211201;3;30
3049;20211201;3;39
3049;20211201;3;18
3050;20211201;4;62
3051;20211201;3;18
3051;20211201;3;55
3052;20211201;1;48
3052;20211201;1;15
3052;20211201;1;26
3052;20211201;1;45
3052;20211201;1;19
3052;20211201;1;52
3052;20211201;1;113
3052;20211201;1;18
3052;20211201;1;53
3053;20211201;1;48
3053;20211201;1;15
3053;20211201;1;103
3053;20211201;1;70
3053;20211201;1;36
3054;20211201;1;21
3054;20211201;1;34
3054;20211201;1;15
3054;20211201;1;23
3054;20211201;1;30
3055;20211201;1;70
3056;20211201;1;62
3057;20211201;4;30
3058;20211201;2;84
3058;20211201;2;33
3058;20211201;2;9
3058;20211201;2;10
3059;20211201;1;1
3059;20211201;1;34
3059;20211201;1;65
3059;20211201;1;35
3059;20211201;1;15
3059;20211201;1;20
3059;20211201;1;40
3060;20211201;1;21
3060;20211201;1;15
3060;20211201;1;107
3060;20211201;1;101
3060;20211201;1;30
3060;20211201;1;58
3061;20211201;3;107
3061;20211201;3;30
3062;20211201;1;4
3062;20211201;1;30
3063;20211201;2;3
3064;20211201;2;64
3064;20211201;2;29
3064;20211201;2;3
3064;20211201;2;40
3064;20211201;2;10
3065;20211201;4;44
3065;20211201;4;28
3065;20211201;4;39
3065;20211201;4;67
3066;20211201;4;30
3067;20211201;2;37
3067;20211201;2;12
3068;20211201;4;103
3068;20211201;4;52
3068;20211201;4;37
3069;20211201;1;21
3069;20211201;1;22
3069;20211201;1;17
3069;20211201;1;12
3070;20211201;1;44
3070;20211201;1;26
3070;20211201;1;16
3070;20211201;1;56
3070;20211201;1;13
3070;20211201;1;8
3071;20211201;4;15
3071;20211201;4;41
3072;20211201;3;34
3072;20211201;3;4
3072;20211201;3;97
3072;20211201;3;71
3072;20211201;3;8
3072;20211201;3;56
3072;20211201;3;82
3073;20211201;1;44
3073;20211201;1;18
3074;20211201;2;43
3074;20211201;2;62
3074;20211201;2;15
3074;20211201;2;31
3074;20211201;2;26
3074;20211201;2;4
3074;20211201;2;56
3074;20211201;2;13
3074;20211201;2;102
3074;20211201;2;32
3074;20211201;2;52
3074;20211201;2;41
3074;20211201;2;54
3074;20211201;2;67
3075;20211201;4;44
3075;20211201;4;15
3075;20211201;4;20
3076;20211201;1;73
3076;20211201;1;47
3077;20211201;1;21
3077;20211201;1;34
3077;20211201;1;35
3077;20211201;1;31
3078;20211201;1;34
3078;20211201;1;62
3078;20211201;1;15
3078;20211201;1;26
3078;20211201;1;23
3078;20211201;1;72
3078;20211201;1;61
3078;20211201;1;11
3079;20211201;1;15
3080;20211201;1;37
3080;20211201;1;11
3081;20211201;1;21
3081;20211201;1;38
3081;20211201;1;11
3082;20211201;1;27
3083;20211201;1;21
3083;20211201;1;25
3083;20211201;1;48
3083;20211201;1;60
3083;20211201;1;35
3083;20211201;1;15
3083;20211201;1;31
3083;20211201;1;3
3083;20211201;1;26
3083;20211201;1;45
3083;20211201;1;16
3083;20211201;1;12
3083;20211201;1;8
3083;20211201;1;105
3084;20211201;4;30
3084;20211201;4;56
3085;20211201;1;64
3085;20211201;1;1
3085;20211201;1;34
3085;20211201;1;62
3085;20211201;1;35
3085;20211201;1;92
3086;20211201;1;20
3086;20211201;1;74
3086;20211201;1;30
3086;20211201;1;18
3086;20211201;1;12
3087;20211201;1;62
3087;20211201;1;12
3088;20211201;1;48
3088;20211201;1;7
3088;20211201;1;15
3088;20211201;1;31
3088;20211201;1;26
3088;20211201;1;70
3089;20211201;1;54
3089;20211201;1;64
3089;20211201;1;1
3089;20211201;1;44
3089;20211201;1;37
3089;20211201;1;67
3089;20211201;1;12
3090;20211201;3;21
3090;20211201;3;44
3090;20211201;3;15
3090;20211201;3;40
3090;20211201;3;26
3090;20211201;3;87
3091;20211201;4;21
3091;20211201;4;48
3091;20211201;4;56
3091;20211201;4;47
3092;20211201;3;26
3092;20211201;3;28
3093;20211201;3;13
3093;20211201;3;56
3093;20211201;3;12
3094;20211201;4;21
3094;20211201;4;39
3095;20211201;4;39
3096;20211201;1;44
3096;20211201;1;35
3096;20211201;1;16
3096;20211201;1;113
3097;20211201;2;30
3098;20211201;2;30
3099;20211201;3;31
3099;20211201;3;54
3100;20211130;3;34
3100;20211130;3;15
3101;20211130;1;31
3101;20211130;1;84
3101;20211130;1;80
3101;20211130;1;52
3101;20211130;1;36
3101;20211130;1;30
3101;20211130;1;12
3102;20211130;1;28
3102;20211130;1;38
3103;20211130;1;56
3103;20211130;1;58
3104;20211130;2;30
3104;20211130;2;82
3105;20211130;3;40
3105;20211130;3;77
3106;20211130;1;57
3106;20211130;1;35
3106;20211130;1;15
3106;20211130;1;56
3107;20211130;3;21
3107;20211130;3;45
3107;20211130;3;103
3107;20211130;3;76
3108;20211130;1;12
3109;20211130;1;40
3109;20211130;1;18
3109;20211130;1;37
3110;20211130;4;1
3110;20211130;4;15
3110;20211130;4;72
3111;20211130;1;62
3111;20211130;1;20
3111;20211130;1;16
3111;20211130;1;56
3111;20211130;1;23
3112;20211130;1;62
3113;20211130;1;23
3113;20211130;1;40
3113;20211130;1;12
3114;20211130;1;26
3115;20211130;1;74
3115;20211130;1;37
3116;20211130;4;35
3116;20211130;4;13
3116;20211130;4;11
3117;20211130;1;48
3117;20211130;1;3
3117;20211130;1;2
3117;20211130;1;92
3117;20211130;1;120
3118;20211130;2;29
3118;20211130;2;22
3118;20211130;2;26
3118;20211130;2;70
3119;20211130;4;21
3119;20211130;4;15
3119;20211130;4;70
3119;20211130;4;71
3119;20211130;4;112
3120;20211130;2;40
3121;20211130;2;56
3122;20211130;1;62
3122;20211130;1;15
3123;20211130;2;15
3123;20211130;2;16
3123;20211130;2;12
3124;20211130;4;1
3124;20211130;4;62
3124;20211130;4;15
3124;20211130;4;12
3125;20211130;1;34
3125;20211130;1;60
3125;20211130;1;15
3125;20211130;1;70
3125;20211130;1;74
3125;20211130;1;30
3125;20211130;1;72
3125;20211130;1;9
3125;20211130;1;85
3125;20211130;1;12
3126;20211130;1;40
3126;20211130;1;34
3126;20211130;1;28
3126;20211130;1;92
3126;20211130;1;30
3126;20211130;1;37
3127;20211130;1;11
3128;20211130;2;35
3128;20211130;2;15
3128;20211130;2;20
3128;20211130;2;117
3128;20211130;2;30
3128;20211130;2;12
3129;20211130;1;40
3129;20211130;1;28
3129;20211130;1;63
3129;20211130;1;39
3129;20211130;1;12
3130;20211130;1;78
3131;20211130;3;63
3131;20211130;3;49
3131;20211130;3;93
3131;20211130;3;12
3132;20211130;3;111
3133;20211130;2;57
3133;20211130;2;44
3133;20211130;2;50
3133;20211130;2;35
3133;20211130;2;15
3133;20211130;2;3
3133;20211130;2;26
3134;20211130;1;15
3134;20211130;1;31
3134;20211130;1;26
3134;20211130;1;105
3134;20211130;1;77
3134;20211130;1;11
3135;20211130;4;71
3136;20211130;1;62
3136;20211130;1;65
3136;20211130;1;35
3136;20211130;1;15
3136;20211130;1;23
3136;20211130;1;102
3136;20211130;1;30
3136;20211130;1;12
3137;20211130;2;25
3137;20211130;2;23
3137;20211130;2;13
3138;20211130;1;35
3138;20211130;1;15
3138;20211130;1;19
3139;20211130;1;56
3139;20211130;1;77
3140;20211130;1;21
3140;20211130;1;26
3141;20211130;1;69
3141;20211130;1;111
3142;20211130;1;15
3142;20211130;1;70
3143;20211130;2;12
3144;20211130;3;15
3144;20211130;3;79
3144;20211130;3;71
3145;20211130;2;30
3145;20211130;2;37
3146;20211130;1;23
3147;20211130;2;111
3148;20211130;4;44
3148;20211130;4;76
3148;20211130;4;63
3149;20211130;1;84
3149;20211130;1;40
3150;20211130;1;37
3151;20211130;1;34
3151;20211130;1;76
3151;20211130;1;5
3151;20211130;1;77
3152;20211130;1;35
3152;20211130;1;84
3152;20211130;1;99
3152;20211130;1;18
3152;20211130;1;12
3153;20211130;2;29
3154;20211130;2;40
3154;20211130;2;37
3154;20211130;2;10
3155;20211130;3;72
3156;20211130;2;30
3157;20211130;1;30
3158;20211130;4;21
3158;20211130;4;60
3158;20211130;4;2
3158;20211130;4;41
3158;20211130;4;76
3158;20211130;4;71
3158;20211130;4;72
3158;20211130;4;67
3158;20211130;4;61
3159;20211130;4;70
3159;20211130;4;37
3160;20211130;4;4
3160;20211130;4;76
3161;20211130;1;34
3161;20211130;1;62
3161;20211130;1;15
3161;20211130;1;16
3161;20211130;1;56
3161;20211130;1;28
3161;20211130;1;78
3161;20211130;1;37
3162;20211130;4;71
3163;20211130;1;34
3163;20211130;1;44
3163;20211130;1;84
3163;20211130;1;41
3163;20211130;1;73
3163;20211130;1;12
3163;20211130;1;8
3163;20211130;1;56
3163;20211130;1;10
3164;20211130;1;57
3165;20211130;1;21
3165;20211130;1;34
3165;20211130;1;44
3165;20211130;1;62
3165;20211130;1;20
3165;20211130;1;70
3165;20211130;1;73
3165;20211130;1;17
3165;20211130;1;63
3166;20211130;4;56
3167;20211130;2;15
3167;20211130;2;40
3167;20211130;2;20
3167;20211130;2;2
3167;20211130;2;41
3167;20211130;2;81
3167;20211130;2;9
3168;20211130;1;35
3168;20211130;1;40
3168;20211130;1;31
3168;20211130;1;16
3168;20211130;1;28
3168;20211130;1;10
3169;20211130;1;63
3170;20211130;1;25
3170;20211130;1;21
3170;20211130;1;104
3170;20211130;1;23
3170;20211130;1;49
3171;20211130;2;21
3171;20211130;2;39
3171;20211130;2;12
3172;20211130;3;40
3173;20211130;1;21
3173;20211130;1;27
3173;20211130;1;30
3174;20211130;3;57
3174;20211130;3;15
3174;20211130;3;70
3174;20211130;3;12
3175;20211130;1;25
3175;20211130;1;3
3176;20211130;4;36
3176;20211130;4;113
3176;20211130;4;71
3177;20211130;2;43
3177;20211130;2;34
3177;20211130;2;44
3177;20211130;2;62
3177;20211130;2;56
3177;20211130;2;61
3177;20211130;2;11
3178;20211130;1;63
3179;20211130;3;16
3179;20211130;3;38
3179;20211130;3;85
3180;20211130;2;40
3180;20211130;2;42
3180;20211130;2;38
3180;20211130;2;56
3180;20211130;2;77
3181;20211130;1;29
3181;20211130;1;35
3181;20211130;1;26
3181;20211130;1;70
3181;20211130;1;12
3182;20211130;4;25
3182;20211130;4;35
3182;20211130;4;16
3182;20211130;4;72
3182;20211130;4;55
3183;20211130;2;34
3183;20211130;2;26
3183;20211130;2;107
3183;20211130;2;28
3183;20211130;2;30
3183;20211130;2;63
3184;20211130;2;64
3184;20211130;2;44
3184;20211130;2;62
3184;20211130;2;15
3184;20211130;2;26
3184;20211130;2;32
3184;20211130;2;74
3184;20211130;2;37
3185;20211130;2;25
3185;20211130;2;23
3185;20211130;2;70
3185;20211130;2;116
3185;20211130;2;89
3185;20211130;2;82
3186;20211130;2;13
3187;20211130;4;1
3187;20211130;4;15
3187;20211130;4;78
3188;20211130;3;15
3188;20211130;3;23
3188;20211130;3;10
3188;20211130;3;61
3188;20211130;3;90
3189;20211130;1;4
3190;20211130;4;25
3190;20211130;4;21
3190;20211130;4;40
3190;20211130;4;32
3190;20211130;4;41
3190;20211130;4;30
3190;20211130;4;56
3191;20211130;4;64
3192;20211130;3;21
3192;20211130;3;41
3192;20211130;3;103
3192;20211130;3;23
3192;20211130;3;38
3192;20211130;3;30
3193;20211130;2;17
3194;20211130;1;61
3195;20211130;1;25
3195;20211130;1;21
3195;20211130;1;1
3195;20211130;1;62
3195;20211130;1;35
3195;20211130;1;26
3195;20211130;1;45
3195;20211130;1;80
3195;20211130;1;23
3195;20211130;1;40
3196;20211130;1;30
3196;20211130;1;63
3197;20211130;1;1
3197;20211130;1;26
3197;20211130;1;18
3197;20211130;1;61
3198;20211130;2;35
3198;20211130;2;16
3198;20211130;2;56
3198;20211130;2;23
3198;20211130;2;113
3198;20211130;2;30
3198;20211130;2;10
3198;20211130;2;91
3198;20211130;2;12
3199;20211130;3;21
3199;20211130;3;26
3199;20211130;3;39
3199;20211130;3;93
3199;20211130;3;12
3200;20211129;2;64
3200;20211129;2;31
3200;20211129;2;41
3200;20211129;2;30
3200;20211129;2;94
3201;20211129;3;35
3202;20211129;4;23
3202;20211129;4;71
3203;20211129;1;35
3203;20211129;1;16
3203;20211129;1;97
3203;20211129;1;23
3203;20211129;1;92
3204;20211129;2;35
3204;20211129;2;15
3204;20211129;2;22
3204;20211129;2;68
3205;20211129;1;62
3205;20211129;1;35
3205;20211129;1;15
3205;20211129;1;23
3205;20211129;1;70
3205;20211129;1;40
3205;20211129;1;30
3205;20211129;1;72
3205;20211129;1;55
3206;20211129;3;73
3206;20211129;3;40
3206;20211129;3;30
3206;20211129;3;39
3206;20211129;3;71
3206;20211129;3;61
3206;20211129;3;112
3207;20211129;1;15
3208;20211129;4;42
3208;20211129;4;18
3208;20211129;4;58
3209;20211129;1;25
3209;20211129;1;23
3210;20211129;1;34
3210;20211129;1;26
3210;20211129;1;12
3210;20211129;1;11
3211;20211129;1;30
3211;20211129;1;105
3212;20211129;2;12
3213;20211129;1;15
3214;20211129;1;21
3214;20211129;1;44
3214;20211129;1;15
3214;20211129;1;26
3214;20211129;1;2
3214;20211129;1;41
3214;20211129;1;70
3214;20211129;1;30
3214;20211129;1;12
3215;20211129;3;21
3215;20211129;3;34
3215;20211129;3;15
3215;20211129;3;63
3216;20211129;2;21
3216;20211129;2;62
3216;20211129;2;23
3216;20211129;2;30
3217;20211129;4;15
3218;20211129;4;21
3218;20211129;4;45
3218;20211129;4;23
3218;20211129;4;28
3219;20211129;1;47
3220;20211129;1;70
3220;20211129;1;37
3220;20211129;1;8
3220;20211129;1;59
3221;20211129;4;37
3222;20211129;2;37
3223;20211129;1;63
3224;20211129;1;23
3225;20211129;1;40
3225;20211129;1;30
3225;20211129;1;71
3226;20211129;2;40
3227;20211129;3;23
3228;20211129;4;54
3228;20211129;4;57
3228;20211129;4;62
3228;20211129;4;35
3228;20211129;4;26
3228;20211129;4;41
3228;20211129;4;23
3228;20211129;4;13
3228;20211129;4;116
3228;20211129;4;30
3228;20211129;4;55
3228;20211129;4;61
3229;20211129;1;26
3230;20211129;4;23
3230;20211129;4;30
3231;20211129;1;30
3231;20211129;1;37
3232;20211129;1;23
3233;20211129;2;4
3233;20211129;2;23
3233;20211129;2;28
3234;20211129;2;35
3234;20211129;2;23
3234;20211129;2;40
3235;20211129;1;58
3236;20211129;1;23
3236;20211129;1;28
3237;20211129;2;23
3237;20211129;2;13
3238;20211129;3;25
3238;20211129;3;40
3238;20211129;3;76
3238;20211129;3;23
3239;20211129;3;26
3239;20211129;3;84
3239;20211129;3;23
3239;20211129;3;28
3240;20211129;4;1
3240;20211129;4;44
3240;20211129;4;15
3240;20211129;4;107
3240;20211129;4;41
3240;20211129;4;56
3240;20211129;4;18
3241;20211129;1;21
3241;20211129;1;62
3241;20211129;1;35
3241;20211129;1;28
3241;20211129;1;8
3242;20211129;3;25
3242;20211129;3;1
3242;20211129;3;34
3242;20211129;3;44
3242;20211129;3;60
3242;20211129;3;62
3242;20211129;3;35
3242;20211129;3;15
3242;20211129;3;26
3242;20211129;3;4
3242;20211129;3;97
3242;20211129;3;5
3242;20211129;3;28
3243;20211129;4;106
3243;20211129;4;28
3243;20211129;4;40
3243;20211129;4;37
3244;20211129;1;97
3244;20211129;1;23
3244;20211129;1;70
3245;20211129;2;65
3245;20211129;2;35
3245;20211129;2;20
3245;20211129;2;93
3245;20211129;2;12
3246;20211129;1;60
3246;20211129;1;62
3246;20211129;1;35
3246;20211129;1;20
3246;20211129;1;73
3246;20211129;1;67
3246;20211129;1;61
3246;20211129;1;58
3246;20211129;1;112
3247;20211129;2;21
3247;20211129;2;2
3247;20211129;2;92
3248;20211129;1;25
3248;20211129;1;45
3248;20211129;1;23
3249;20211129;1;25
3249;20211129;1;23
3249;20211129;1;67
3250;20211129;3;56
3251;20211129;3;25
3251;20211129;3;48
3251;20211129;3;28
3251;20211129;3;75
3251;20211129;3;52
3251;20211129;3;113
3252;20211129;1;15
3252;20211129;1;20
3252;20211129;1;70
3252;20211129;1;40
3253;20211129;3;21
3254;20211129;4;34
3254;20211129;4;60
3254;20211129;4;35
3254;20211129;4;15
3254;20211129;4;28
3254;20211129;4;70
3254;20211129;4;18
3254;20211129;4;8
3254;20211129;4;83
3255;20211129;1;65
3255;20211129;1;35
3256;20211129;2;43
3256;20211129;2;1
3256;20211129;2;22
3256;20211129;2;26
3256;20211129;2;41
3256;20211129;2;23
3256;20211129;2;74
3256;20211129;2;14
3256;20211129;2;61
3256;20211129;2;83
3257;20211129;1;25
3257;20211129;1;23
3258;20211129;1;40
3258;20211129;1;34
3258;20211129;1;44
3258;20211129;1;35
3258;20211129;1;26
3258;20211129;1;70
3258;20211129;1;63
3258;20211129;1;93
3259;20211129;2;34
3259;20211129;2;44
3259;20211129;2;15
3259;20211129;2;23
3259;20211129;2;70
3259;20211129;2;18
3259;20211129;2;71
3259;20211129;2;47
3260;20211129;3;1
3260;20211129;3;15
3260;20211129;3;40
3260;20211129;3;31
3260;20211129;3;26
3260;20211129;3;45
3261;20211129;4;34
3261;20211129;4;15
3261;20211129;4;26
3261;20211129;4;27
3261;20211129;4;28
3261;20211129;4;11
3262;20211129;1;64
3262;20211129;1;1
3262;20211129;1;34
3262;20211129;1;62
3262;20211129;1;76
3262;20211129;1;102
3262;20211129;1;30
3262;20211129;1;37
3262;20211129;1;93
3263;20211129;2;35
3263;20211129;2;97
3263;20211129;2;11
3264;20211129;2;63
3264;20211129;2;49
3264;20211129;2;93
3265;20211129;3;40
3265;20211129;3;39
3266;20211129;2;11
3267;20211129;4;40
3267;20211129;4;39
3268;20211129;3;31
3268;20211129;3;3
3268;20211129;3;26
3268;20211129;3;13
3268;20211129;3;8
3268;20211129;3;12
3269;20211129;1;1
3269;20211129;1;34
3269;20211129;1;35
3269;20211129;1;75
3269;20211129;1;39
3269;20211129;1;18
3269;20211129;1;61
3270;20211129;4;57
3270;20211129;4;84
3270;20211129;4;40
3270;20211129;4;30
3271;20211129;2;90
3272;20211129;3;34
3272;20211129;3;15
3272;20211129;3;76
3272;20211129;3;93
3272;20211129;3;56
3272;20211129;3;12
3273;20211129;1;11
3274;20211129;1;44
3274;20211129;1;50
3274;20211129;1;35
3274;20211129;1;23
3274;20211129;1;36
3274;20211129;1;88
3274;20211129;1;40
3274;20211129;1;71
3275;20211129;4;62
3275;20211129;4;23
3275;20211129;4;70
3276;20211129;1;15
3277;20211129;3;44
3277;20211129;3;23
3277;20211129;3;17
3277;20211129;3;30
3277;20211129;3;72
3277;20211129;3;105
3277;20211129;3;61
3278;20211129;3;30
3279;20211129;2;39
3279;20211129;2;18
3280;20211129;1;27
3280;20211129;1;8
3281;20211129;1;76
3281;20211129;1;42
3281;20211129;1;63
3282;20211129;1;35
3282;20211129;1;15
3282;20211129;1;31
3282;20211129;1;3
3282;20211129;1;26
3282;20211129;1;41
3282;20211129;1;73
3283;20211129;2;40
3283;20211129;2;62
3283;20211129;2;26
3284;20211129;2;60
3284;20211129;2;29
3284;20211129;2;35
3284;20211129;2;31
3284;20211129;2;2
3284;20211129;2;70
3284;20211129;2;39
3284;20211129;2;71
3284;20211129;2;47
3284;20211129;2;10
3284;20211129;2;61
3285;20211129;3;94
3286;20211129;1;34
3286;20211129;1;62
3286;20211129;1;35
3286;20211129;1;5
3286;20211129;1;38
3287;20211129;1;12
3287;20211129;1;63
3288;20211129;1;82
3289;20211129;4;9
3290;20211129;1;26
3290;20211129;1;71
3290;20211129;1;61
3291;20211129;2;40
3291;20211129;2;64
3291;20211129;2;26
3291;20211129;2;23
3291;20211129;2;11
3292;20211129;1;15
3292;20211129;1;97
3292;20211129;1;70
3293;20211129;4;21
3293;20211129;4;34
3293;20211129;4;78
3293;20211129;4;30
3293;20211129;4;71
3293;20211129;4;12
3293;20211129;4;13
3294;20211129;1;22
3295;20211129;2;21
3295;20211129;2;34
3295;20211129;2;15
3295;20211129;2;22
3295;20211129;2;26
3295;20211129;2;13
3295;20211129;2;54
3295;20211129;2;30
3295;20211129;2;18
3295;20211129;2;12
3296;20211129;1;84
3296;20211129;1;23
3296;20211129;1;53
3296;20211129;1;56
3297;20211129;1;12
3298;20211129;4;52
3299;20211129;1;30
3300;20211128;1;44
3300;20211128;1;15
3300;20211128;1;30
3301;20211128;1;37
3301;20211128;1;11
3302;20211128;4;48
3302;20211128;4;34
3302;20211128;4;62
3302;20211128;4;15
3302;20211128;4;4
3302;20211128;4;23
3302;20211128;4;52
3302;20211128;4;72
3303;20211128;3;15
3304;20211128;2;57
